Axis_0
MFREQ, GRAWX_rms, GRAWY_rms, GRAWZ_rms, GRAWX_std, GRAWY_std, GRAWZ_std,GRAWX,GRAWY,GRAWZ
91000, 5.590321, 0.4191076, 0.5929441, 0.1195322, 0.4283682, 0.1039288, 2.361362, 0.485395, -0.7629829
91100, 5.596823, 0.4487371, 0.6033058, 0.1681716, 0.4566805, 0.1229635, 2.359776, 0.4900816, -0.7669327
91200, 5.636165, 0.4479626, 0.5924348, 0.1258459, 0.4600781, 0.1169857, 2.370723, 0.4860975, -0.7607557
91300, 5.611351, 0.4696994, 0.592267, 0.1914199, 0.480992, 0.1137674, 2.361082, 0.488207, -0.7611333
91400, 5.664806, 0.4792008, 0.6005774, 0.2021307, 0.4867385, 0.1184643, 2.371487, 0.4922259, -0.7658613
91500, 5.617713, 0.4697117, 0.5971893, 0.07179893, 0.4780264, 0.1085932, 2.369084, 0.4911236, -0.7651123
91600, 5.637062, 0.4778112, 0.5982265, 0.1602589, 0.4863267, 0.1199029, 2.368835, 0.4912205, -0.7641007
91700, 5.62676, 0.5003157, 0.6006234, 0.167437, 0.5091279, 0.1223739, 2.366163, 0.4910238, -0.7652764
91800, 5.655684, 0.5137844, 0.6055487, 0.2079287, 0.5180678, 0.1030745, 2.369061, 0.4953687, -0.7713134
91900, 5.580618, 0.4992634, 0.5993751, 0.1204304, 0.5142402, 0.1165906, 2.359262, 0.4845827, -0.7653638
92000, 5.58602, 0.5595279, 0.5879359, 0.09920404, 0.5638314, 0.1122264, 2.361393, 0.4915507, -0.7585124
92100, 5.624126, 0.5652692, 0.5905872, 0.2216356, 0.5623159, 0.1128336, 2.361145, 0.4990691, -0.7601683
92200, 5.627676, 0.5613596, 0.5871121, 0.1381465, 0.5691205, 0.111521, 2.368247, 0.4873003, -0.7580733
92300, 5.609546, 0.5573989, 0.5983637, 0.1684988, 0.5609545, 0.1054346, 2.362447, 0.4926753, -0.7663206
92400, 5.597574, 0.582976, 0.5984297, 0.1895726, 0.5799004, 0.1132702, 2.358312, 0.4966805, -0.7652448
92500, 5.636374, 0.5533137, 0.594991, 0.1485659, 0.5624449, 0.1200966, 2.369452, 0.4867951, -0.76195
92600, 5.653276, 0.5509103, 0.604214, 0.08953805, 0.559245, 0.1086017, 2.375975, 0.4880116, -0.769688
92700, 5.652179, 0.578648, 0.5885518, 0.1723211, 0.5847273, 0.1123514, 2.371178, 0.4865614, -0.7588998
92800, 5.587707, 0.5279804, 0.5951027, 0.1877618, 0.5362279, 0.107625, 2.356364, 0.490347, -0.7638845
92900, 5.650834, 0.5557195, 0.5916469, 0.2096098, 0.5595729, 0.1165888, 2.367889, 0.492542, -0.7602986
